author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count,tweet_id,reference_status
1367531,FoxNews,20946694,456439,,,FLASHBACK: Ex-intel officials claimed the Hunter Biden laptop story was Russian disinformation https://t.co/zJHIqxcBF1,2022-03-18 15:50:00+00:00,26,39,68,0,1504847596006821894,
1367531,FoxNews,20946694,456439,,,Biden must do more to counter Putin's propaganda https://t.co/wzxpVAfryB,2022-03-18 15:45:00+00:00,23,94,92,7,1504846338097221635,
1367531,FoxNews,20946694,456439,,,NASCAR: What to expect from Atlanta's super new speedway https://t.co/OmGGcEP42h,2022-03-18 15:40:00+00:00,10,9,21,0,1504845079344820224,
1367531,FoxNews,20946694,456439,,,"BREAKING: Biden, Xi discuss Russia's war against Ukraine and 'other issues of mutual concern' in video call https://t.co/8h5wIio7LA",2022-03-18 15:34:43+00:00,33,71,87,3,1504843752426323990,
1367531,FoxNews,20946694,456439,,,"Transgender swimmer's NCAA championship win 'just not right,' competitor's parents say https://t.co/RwLrHpHoPO",2022-03-18 15:30:00+00:00,51,69,254,4,1504842564117024770,
1367531,FoxNews,20946694,456439,,,Fed's Bullard says interest rates need to rise above 3% to quell inflation https://t.co/bOOAShNpKK,2022-03-18 15:25:00+00:00,8,22,31,3,1504841304429137920,
1367531,FoxNews,20946694,456439,,,Hunter Biden scandal: Media slowly acknowledges legitimacy to emails after dismissing laptop story in 2020 https://t.co/2BIPDPwIC7,2022-03-18 15:20:00+00:00,103,85,280,6,1504840046272303105,
1367531,FoxNews,20946694,456439,,,Russia says Biden spouting 'personal insults' with Putin 'war criminal' accusation https://t.co/80VmSgVaua,2022-03-18 15:15:00+00:00,27,133,95,4,1504838788408774658,
1367531,FoxNews,20946694,456439,,,"Ukraine supply chain 'falling apart' amid growing refugee crisis, U.N. officials say https://t.co/8ONiObRVVm",2022-03-18 15:10:00+00:00,20,19,52,4,1504837529714921475,
1367531,FoxNews,20946694,456439,,,Minnesota parents fear for son detained by Russian forces while fleeing Ukraine: 'My worst nightmare' https://t.co/C4z54KwZ4m,2022-03-18 15:05:00+00:00,30,25,66,0,1504836271847391248,
1367531,FoxNews,20946694,456439,,,New York Times scolded for handling of Hunter Biden laptop story https://t.co/hJZDFiuZTs,2022-03-18 15:00:03+00:00,46,81,178,9,1504835027531550721,
