text,emotion
i feel cold,ANGER
i feel the cold i can say he sends it,ANGER
i remember feeling like my blood had run cold and i actually dropped the bible out of shock,ANGER
i hate too is stepping outside in the cold and feeling the cold hug your legs crawl around them and seep through the fabric far too quickly,ANGER
i don't think i am anti social i just don't really feel like going out in the cold weather to get a beer or whatever when i can maybe have a few drinks in the comfort of my own house,ANGER
i feel like i'm getting a cold so i'm definitely glad that i've got some time to rest and recover,ANGER
i could feel his cold body against mine it made me motionless,ANGER
i feel is cold,ANGER
i mean you all already know how i feel about my 808s brrrrr ing like it's cold in the winter time,ANGER
i feel the cold intensely as i cross the lake slowly for the first time,ANGER
i am so glad i found your blog because it and the comments left there make me feel like i'm not a weirdo cold selfish bitch like i thought,ANGER
i feel quite cold toward primitive stitching right now,ANGER
i feel so cold i think i turn blue,ANGER
i can t do this anymore and simultaneously feeling cold i immediately understood that i needed to something different,ANGER
i wasn t feeling cold at all i looked up from my position on the ground and said as naturally as i could in order to keep a feeling of consesus yes,ANGER
i stood there feeling very cold and very foolish i heard the soft grunting sounds that one of my rescue dogs makes,ANGER
i do not feel wanting to be less cold is bad behavior,ANGER
i believed that you were different and that you would prove me wrong and i opened up and let you in and now all i feel is a cold shoulder and someone who is looking for an out,ANGER
i can hardly feel the cold,ANGER
i really missed feeling the cold sea breeze on my face,ANGER
i also feel like the cold is finally ready to say bye for now so i'm all smiles,ANGER
i feel my ears cold,ANGER
i feel cold and stick and icky and all i want to do is go home and sleep but i can t because i have to be at work even though there isn t any work to do and there hasn t been all week and i m going insane from boredom,ANGER
i am feeling very cold today just put my fluffy slippers on and will get my blanket with kids in bed,ANGER
i am still feeling the effects of the cold because my typing feels so slow and laboured,ANGER
i feel cold,ANGER
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but i'm destined to live in southern california,ANGER
i am certainly happier in sunnier climates and having absolutely no body central heating i feel the cold to the extreme,ANGER
i have a feeling this winter's going to be a cold one so i'm looking around for a coat to buy,ANGER
i loved to see the silver red and green holiday decorations hung upon the downtown street lights and the feeling of snow and cold on my face as we walked among the stores: don s camera shop merriman s flowers cain s drug store greer s hardware fidelity clothiers g,ANGER
i feel the cold air kiss my cheeks as i stand here at the top taking in the view,ANGER
i thought suddenly if i could get outside feel the cold autumn air i would feel better my mind would clear,ANGER
i consider myself someone who's comfortable being alone but man have i been feeling the cold lack of affection in my life,ANGER
i do want to jog with baby girl but i feel like if it s that cold outside i will leave her inside with daddy,ANGER
i just feel too cold every time i think about it right now,ANGER
i feel now is emptiness and the cold,ANGER
i just feel a cold reality creep in where once my heart bled for these teams,ANGER
i hate surprises q shoots back smiling and bond feels something cold coil in his stomach and he coughs and q and isaac swing back towards him,ANGER
i'm beginning to feel cold and i'm beginning to feel tired so i don't want to diet myself into hypothyroidism,ANGER
i'm of a great age and with mobility problems i do feel the cold very much so and over the past months even during this summer have sat huddled in my chair in the living room clutching a hot water bottle and with a couple of 'throws' over me,ANGER
i'm still wondering how he found out that i'm feeling cold in the cinema,ANGER
i'm a girl who will feels cold very easily,ANGER
i swear there is no better feeling than crawling into a cold crisp bed when you're tired,ANGER
i feel like if i was the one getting cold feet for her what nauncence is that,ANGER
i end up feeling even more cold hearted when my reaction to the news of a loved one s passing is to purge them from my electronic records,ANGER
i feel cold hearted,ANGER
i feel that the cold seafood here oysters lobsters are definitely the main highlight though they arent particularly good either and the mains are quite good too,ANGER
i was frustrated at my own failures and when i saw my failures mirrored in another person i couldn't help but feel a restraint and like second nature become cold and mean when all that was happening was that i felt unsatisfied in myself,ANGER
i can already feel a cold incoming a href http: www,ANGER
i have just had a nice pizza and garlic bread dinner and we will both probably hit the hay soon as we are both still feeling the effects of a cold,ANGER
i also have the same sneezy runny nose feels like a cold with the flu like body aches that i've had through the whole pregnancy so far,ANGER
i can t believe i m actually saying this but i m kind of feeling pants this cold season,ANGER
i'm all out of faith this is how i feel i'm cold and i am shamed lying naked on the floor,ANGER
i hold her hand again bcuz she feel cold n she said my hand is warm wen i hold her,ANGER
i got stomach pains and then i feel cold then hot after,ANGER
i feel like i m imploding i m cold hot in pain,ANGER
i hate anything it s the fact that my body can t function properly the fact that my mind is tired and always focused on food the fact that i can t sleep that i feel cold all the time that i m so unfit i want my body to be healthy,ANGER
i feel a flow of cold energy around my crown chakra which flows down the rest of my body,ANGER
i have this really bad feeling that cold is what i will be for a few months,ANGER
i lovelies so it seems that winter is more or less here now and i have to say i am feeling the cold,ANGER
i'm under a huge stack of blankets with a kid on each side a fire in the wood stove in the living room and the electric heater cranked up in the bedroom and i still feel cold,ANGER
i feel we might have to quit cold turkey,ANGER
i feel cold,ANGER
i wake up at night i am drenched in sweat even though i feel cold and am bundled up in sweats and a sweatshirt,ANGER
i made versions of my immunity juice each morning and i could feel the cold lifting a little more each day as it progressed,ANGER
i could feel the cold chill trust me,ANGER
i'm feeling cold and thought about wearing a sweater like ten times and just forgot about it the next moment and thought about going downstairs and eat something because i only had a slice of bread and a glass of milk since i woke up,ANGER
i feel as if my body has to wait out this cold like rio is waiting out the insistent rain,ANGER
i still felt good although i was definitely feeling the exertion of the long cold ride so far,ANGER
i started to feel really cold around 5:25pm,ANGER
i always feel cold so this heat is abnormal,ANGER
i feel the cold glare of the moon on my back,ANGER
i feel cold,ANGER
i hear such stories i feel cold,ANGER
i was worried that i was just a wimpy texan and that my body had adjusted to the heat but in fact it's actually reasonable weather to feel cold in,ANGER
i wake up feeling cold,ANGER
i am feeling quite cold,ANGER
i can feel the cold breeze through the air conditioning vents,ANGER
i am not complaining really today i really dressed for the sun my chino s came out and i didn t feel an inch of cold at all,ANGER
i didn t get much sleep last night and i ve been up since 5 am for work plus i can kind of feel the onset of a cold coming on so we ll see what happens,ANGER
i feel cold not because it is outside but i feel it in the hearts of the people around me,ANGER
i'm left feeling like i've had a bucket of cold water thrown at me,ANGER
i can assume they are not feeling the cold like i am their water is not frozen they have plenty of feed though they eschew this in favor of foraging and scratch,ANGER
i feel so cold konkurs na styliacje fleq,ANGER
i feel like my cold isn't bad enough to go to the doctor,ANGER
i ought to get up straight away but i snooze the alarm just once it feels cold in the bedroom and it's so coccoon like in bed,ANGER
i just feel cold and drained all the time i'm either hungry or tired or cold at the moment and it sort of sucks,ANGER
i still feel cold after 12 days without heat and power at my employer's house due to the high winds of hurricane sandy,ANGER
i'll admit feeling the cold air in detroit when boarding the plane to chicago felt great i'm glad i wore my fleece because that air was brisk,ANGER
i feel cold blooded just like a reptile,ANGER
i came out feeling as if cold water had been thrown in my face,ANGER
i'm feeling really cold lonely and i need to be pampered,ANGER
i only feel the cold when i take off my mittens to snap photos,ANGER
i may not be experiencing a life on the streets but i am feeling a bit cold a bit hungry and a bit disconnected from home and from the real world,ANGER
i only feel the cold hand of aad and ya,ANGER
i feel the cold wind that's invisibly comforting me,ANGER
i feel the cold getting worse and more warm clothing are needed,ANGER
i try to keep myself safe and warm since i can feel his cold shoulder,ANGER
i can feel it in the cold winds that caress my skin lately,ANGER
i am feeling: cold,ANGER
i have no feeling all i see is cold just cold,ANGER
i think he was punishing me so i d feel cold and shit but seriously who d do that to a hot chic like me anyway,ANGER
i'm not feeling this cold weather,ANGER
i can really feel life is cold and unreal but so many times and so many days i wonder why,ANGER
i feel so cold and hollow in the inside,ANGER
i think this is better than those two i still left feeling a little cold,ANGER
i was quite surprised with the weather these past few days but i'm so thankful for that since i still can wear my shorts out without feeling that cold yes no kidding,ANGER
i didn't feel the cold anymore,ANGER
